و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
زمینی	هموار درختی برمی‌آید سایه‌ها رسند گشودیم گشوده جوی‌ها پاهایشان گردنهایشان می‌نوشید پذیرایی افتاده میوه‌اش تشنه
نکنی	نمی‌کردند زیانکاران مسلم‌ها ناچیز خواهید_بود خواهیم_شد خواهی_بود می‌دانی پروردگار آنید نکردید بهانه باشم نبود خوبی
می‌گفت	خواهر جوان آمده‌ای برادرم مهمانان پسرک مسیح درداد گفت ملکه مترس نادان عمران نیافتی کشور
گشتند	نسل‌های سزای مکر ورزند شدید گناهانشان گریبان برادرانشان اقرار پاره سوگندهای امت‌هایی پیوست شوید بودید
نمی‌ورزند	تکبر درمانده امتناع ورزید می‌ورزیدند نمی‌شوند می‌ورزند نمود پایداری گراید دانشمندان بناحق زیانکارانند شام مباش
جاری	جوی‌ها نهرها بوده_است بهشت‌های کشتزارها بوده جویبارها سنت همیشگی عدن اند انگور درآوریم برخورداری پایدار
داشتن	دادم نماز داشته‌اند حسب برپا دهیم امکانات واحدی رسانیدم ایستند روزه داده برخیزید نشاندار همسرانی
وظیفه‌ای‌	ابلاغ پیام دلایل بشر سحری دلیلی آشکار بزرگوار نفرستادیم تذکاری رساندن برتر سحر فرشته‌ای معبودی
بنی‌اسرائیل	ساخته‌ایم الفت حاصل طایفه باقی‌ماندگان فرستاده‌ای رفیق نسل‌های خواهیم_آورد می‌آموزد بنده‌اش خانواده میان قومشان پیامبرانی
دادی	خواب‌ها نمی‌دانم تعبیر نمی‌گویم بخواهم نمی‌بینید درآی شده‌ام شیطان‌ها بیگزارم گنجینه‌های نگفتم آگاهی دوری داده_است
می‌شدیم	پاکدل نخواهیم_آورد بازگردانده خالص بیدادگر دوستدار بپرستم پسرک نخواهد_شد کافرند سرور نیستیم نیاورده برگشتی دریافت
نخواهیم_شد	کی می‌شویم بازخواست نخواهند_شد نخواهید_شد هولناک بیناست خواهد_کرد وکیل چیست می‌دهید خواهند_شد نبوده‌ایم بربافتد دهنده
فرستد	نیرویی تاریکی گام طبقه ریختیم می‌افکنیم نیافتیم برمی‌دارند افتد باقی گسترده می‌نوشید هولناک شگرف سازد
کر	داده_شوند خوشه زمینی میوه‌اش بشنوند اذن کور می‌بینی گردنهایشان موجی آنگه ترسی برمی‌تابند بی‌آنکه شهابی
می‌گردانید	می‌بینم بپرستند نمی‌داند یگانه برانگیخت می‌دانم امت نمی‌بینید حقانیت برتر نمی‌دانید می‌کنید گرفته‌اید نفرستادیم معبودی
نعمت‌ها	دنیاست آنید فرزندان بدانید بریدند دروغزن اسرائیل زندگانی گفتیم پست کالای زیور سرزمین شنبه برگرفت
ریشه	حیوانی کدام هشدارها سال‌ها مقدر ستمکارتر استثنا غیر نعمت‌های بخواهیم بیازماییم بسا نوع تلخ فرمانش
نهد	دمیده آور مکرشان جمع می‌خواهیم کیفرش زیتون تعجب باده‌ای نشسته‌اند فرمانروایی ناپاک ملکوت می‌توانید گردانیده
نمی‌فرستیم	بشارتگر قسم فرستادیم فرستادن سمت بخوانی بحق برانگیخت نفرستادیم رهبری مدتی فرقان مرگبار فرستاد میزان
بپرستم	گردانیده‌اید خدایانی شفاعتگری می‌خوانید منزهی کجایند یگانه می‌پرستید می‌خواهید کناره دوستانی می‌پنداشتید داوران نمی‌خورید معبود
کلیدهای	پدیدآورنده فرمانروایی بی‌هیچ پیچیده نهفته پرداخت ندانسته‌اند نصف بنایی بزرگتر رام می‌رود شش منزه کوه‌هایی
خواهید_دانست	خواهند_دانست وه گردنه خواهند_گفت دانی زودی مغلوب گمراه‌تر ستمکارتر جایگاهشان بدتر بپرسی فردا جایگاه می‌کرده‌اند
ببینی	می‌گروند قصد ورزیده پیامبرانش شعیب مباشید ابطال خوانده_شود پیمانه گفتی شکیبایی داستان ندیدی عمران همانان
بی‌درنگ	موجود صور دمیده باش وکیل الله صفات شا می‌گوییم ان برانگیخته گوی مغلوب سنجیده‌کار کدامند
غروب	آفتاب نمایان برآمدن بیدار سایه چهره‌هایی رهسپار بدبو خورشید سیاه دید بامدادان نابود صورتگری بامداد
پاکدلانه	اعراض خوانید پیشامد برتافتند رویگردان عزت حالت می‌ورزیدید بازخواهیم رکوع همگی مرگ می‌خوانند سوی سجده
حجت	حقیقتی باره اطمینان الفت یقین تدریج داده_شده_بودند شادی علمی مؤید نمازشان بخوانی بدان بیعت محقق
نباشند	زیردست نبوده‌ایم ستمگر روزگار خواهیم_بود اطمینان بوده‌اند هلاکشان بسا سپاهی شده‌اند ریشه‌کن بدان‌ها شده_بودند بیمناک
دانه‌های	رویانیدیم گیاه سبزی دانه طبقه جوی‌ها انگور خوشه رودها باران میوه‌اش زیتون مرگش ریختیم ابرهای
می‌باشند	ابطال نامگذاری غافلند استثنای مقابل فرزندانشان انصار طایفه کردن قلبش معبودان گرویدیم حقانیت بهانه هستند
باری	می‌رسانیم سینه‌هایشان سرانجامی برتابد آینده می‌آید خواهند_داشت جزای بخواهند خواهد_بود خواهد_داشت چهره‌هایی بزرگتر است فرجامی
تخفیف	جزا زودشمار کی وعده گزند نخواهیم_شد پاداش جهان دفع بدانان بخواهد حدود گفته‌اند نیکوتر می‌کرده‌اند
نمی‌کردند	نکردید نکنی نمانده‌اید اش نخواهید_شد می‌پندارید سزد رسیده_است نکرده‌اند خوبی مادرت گواراتان شنبه برایم خواهند_کرد
میوه‌های	میوه‌ای تلخ تکیه زیتون می‌زنند داربست سایه‌ها جوی‌ها تخت‌ها رودها میوه گاو کشتزار بینوایی ناب
زیتون	میوه‌های کشتزارها ناب میوه خرما دانه‌های باده قلم رنگ‌های خوشه فراز سایه‌ها جوی‌ها داربست رودها
می‌رسانیم	باری گردنه دررسد می‌آید می‌برند می‌فرستد خواهد_داشت می‌یابید می‌دهی حساب مردگان تنگ داده_می‌شوند همانند رفته
ساختند	فرقه برخیزند شکیبایی صدای کن سیم مؤید الحرام گوی گوساله‌ای بامدادان نام می‌ورزند می‌آورید رعایت
فرقه	قطعه گمراه ساختند ایستادگی شکستند صدا هلاکشان فرزندانشان شکیبایی آیین اعراض شدند اموالشان بسا سرپیچی
خواهد_داشت	پاداش درمی‌آورد می‌دادند نیکوتر درآوریم بیاورد خواهند_یافت هدر می‌بخشاید جاودانه دررسد بخواهی سپاسگزاری حسرت خواهد_بود
یافته‌ام	بیدادگر کردار بخوانند پرستندگان دهم جستند پاکدل همپای ناچیز خودم آرید خواهی_یافت باشم مهربان دستور
نیمروز	بی‌خبرند ناگهانی بامداد آمدن مرگبار می‌آورید بیایند حدس مشرک دستش می‌رسید سیاه پیشی آفتاب خانه‌هایشان
وسایل	کالای برخورداری زیور باده پست می‌آزماییم سایر استفاده کور گوشهایشان سدی می‌شناسند جایگاهی نهرها دل‌هایی
بیراهه	رفته زیان پاکدل سودی تنها مردار حسب نمی‌خواهم پاس عمل خواهان دست پرنده‌ای خوراک نکاح
وسوسه	کفایت صورتگری بی‌نیاز حفظ تنهایی بیدار آدمی حج برخورد یکی گشایش رحمتگر صرفاً گرداند بخل
اجلشان	رسد گزندی می‌رسید مهلتشان خواند سد مرگبار آسیبی سالی ترس بچشانیم فرا خواهند_دانست پذیرد کفایت
نمی‌کنیم	تکلیف همدم فرستاد شگرف گشوده بهشتی فرستد باغ‌های تشنه دام‌های کشتزارها اعمالشان سبز کوه‌هایی فزونی
گردنکشی	نزاع زیردست نیرنگ لی مسخره برخورد تکذیب بناحق نخوت شادی نداشت اعراض اقرار عده‌ای می‌کردید
ابرهای	رویانیدیم گرانبار ریزان دانه‌های زهم برق ننگریسته‌اند برافراشت سازی کشتزارها گیاه آیاتی طبقه بی‌مقدار آبی
می‌رسانم	بخواهم خواهستم رسانیدم می‌بینم پیام خیر نمی‌بینید شده‌ام اندرز آشکارم می‌خوانم رساندن نمی‌دانم نمی‌دانید شمایم
آمده‌ای	می‌گفت نادان نگفتم جماعتی می‌خواهی شدیم برادرم سحر معجزات نگویید وقتی منزهی نیکوترین مردیم داده_شد
کراهت	نموده بهای راه مال شرکت خدایند جانشان مهاجرت بیعت نیافته_بودند هجرت نمازشان دروغگویند تنگی صبر
دیار	استهزا زیانکارترین عده‌ای نداشته_باشند یافت نیستی اموالشان نخواهند_گروید پندار گمارده داناتریم برایش کیفرش شاعری برمی‌بافتند
دریغ	سامری هارون نخواهیم_آورد پسرک عزیز هستی هامان آورده‌اید شمایند خوانید ورزند نمی‌کردیم زد منند بیابند
بی‌شک	درآی شا ان مسلمان پدرش بدکاران ساحری همسرت منتظر ضامن واقعی قبول دوستان امن شخص
بازداشت	احضار یافته‌ایم خواهیم_پرسید دیدند چنان می‌نگرند نصرانی افکنده می‌دیدی پیکار شدند شام گمارده زنجیرها همان‌گونه
ساحر	شخص دیوانه‌ای دانایی نگویید ساحری آگاهی هشداردهنده‌ای نیستی تعبیر مشرق آمده‌ای پدرانشان نصرانی می‌دانی ضامن
شویم	استخوان شوم مردیم پذیرش نیکوست گراید واگذار بی‌منت می‌شویم تقواپیشگان نکند بگذارید قادر بی‌تردید زیانکارانند
می‌داریم	می‌سازیم می‌دارد پنهان می‌دارید وا پوشیده می‌گرداند نمی‌ماند گردانیم گردی شوی نگرداند همچنان دینشان سینه‌هایشان
پایداری	می‌جنگند ورزید محرمانه می‌کشند نمی‌ورزند کسانی‌اند سیم درمی‌آمیزید نمایید مباش کنند گفتگوی ورزند جویید نمازشان
شایستگی	دیوانه‌ای ساحر جمعی خجسته خواه شریکانی گویا زمره اینجا شخص قرآنی بروید ماجرا ماست پیام
بدکار	مکر هشدارها ایمان‌آورنده زیردست نرسیده نافرمان می‌بینم لیکن هلاکشان نموده می‌پرستیدند غافل کبر نمی‌آورند خواهیم_آورد
بنگرند	زیردست نیاورند شریکانی ببینند شاعری نمازگزاران بیاور بیاوریم بسته_است اطمینان بهترند ندارند معبودان اینان ریشخند
صدای	شراب گاو ساختند روزه درست ازدواج دستهایتان برخیزند کافریم ناروا انواع برخیزید صف رب‌ها گروه‌هایی
می‌یابند	گرانبار خواهند_شد کرده_باشد پیر می‌شوند بی‌حساب ابرهای نخواهند_شد می‌نمایند نیابند مراعات بروند امری نماید کرده_است
پست	زندگی دنیاست زندگانی دنیا زیور سرگرمی بدرقه نمانده‌اید دینشان می‌گیرند کالای مقدر برگزید فرموده بهانه
می‌ستانند	جانشان چهره می‌دیدی دید خنده می‌زنند عرضه خوانده_می‌شود آمدند می‌گیرند می‌بینند پشت می‌دارند صف خلوت
نام‌های	معبود بخشش معبودی نیکوکاران کژی داوران دوستانی غنیمت‌های وامی دانشی بربافتد حمایتگری خوراکی نیکوتر گشایشگر
کژی	بی‌هیچ شریکی خویشاوندی بفهمند جفت اموالشان فرزندانتان درخور فربه تشنه بیهوده‌ای هستید بدون بوده توانایی
تجارتی	دسته بمیرید آورده‌اید یهود آشکارش بیمناکید باشند مردند نگویید جوید انفاق کتاب‌ها زنانی پدرانتان مادرانتان
مسلط	طبقه بارانی می‌خوانی تدریج پاره پندآموزی سنگ‌هایی ریزان ابر کوتاه آرامی گسترده حکایت روانند عذابی
بارانی	هشدارداده‌شدگان قرارگاهی ریختیم مسلط سرشان گوگردی سپاهیانی ننگریسته‌اند خاکستر بالای افراشته درمی‌آیند شگرف می‌رود مواد
جنبندگان	بدترین شهرهای کشت درختان ناز داربست هستند پیرامون عدن مسجد طایفه سرپرستی داده‌ایم قبل همان‌گونه
بکشند	می‌ترسم راهنمایی برسد صاد می‌برم آفریده‌ای عبادت شکیبا بهترم یاریتان نمی‌خواهم کنی کنند باشم حفظ
اخراج	یهود حالت پاره‌ای مکه بزنید مردند برادرانتان کبر برمی‌گردانند مشرک منکر افزودند رویگردان اعراض انصار
سنگ‌هایی	سنگ گشودیم می‌افکندند گل بفرستد ابر طبقه کوه‌هایی زبر مقدر جوشان هلاک ریزان آدمیان بالای
متراکم	برمی‌انگیزد ریزان زهم سازی دانه‌های بیفکن برافراشت ابری بی‌درنگ آبی بشکافد نطفه صورتگری موجود خاکی
می‌بینم	شمایم نیستم نمی‌بینید بیگزارم می‌رسانم بپرستید شده‌ام نهی می‌گردانید می‌برم حسابرس نبود می‌دانم هشدارها کناره
بیمناکم	توبه‌پذیر تواناست توانای می‌ترسم یافته_است هولناک بدانید رحمتگر گزندی بخششی بلندمرتبه رسالت نیروی می‌بخشد خواهستم
بسیج	آماده اسب‌های یاورانی جایگاهش شکنجه نشوید نمودید ستدی نمایم رسوایش اندازد واگذارید رستگار سوزان شوید
علیه	آوریم می‌آوریم نیاوردند ابطال نکرده نسزد نمی‌آورند شنیدید ترسایان غافلند می‌کوشند بیهوده خواندن کنی دلیل
کمین	شکافنده کبر سبک بگیریم ورزد کوه‌های بیمشان زیانکارانند ایستادگی دچار شهابی می‌ورزید سبزی کوشش می‌ورزیدید
مراعات	خویشاوندی نمی‌رسد نمی‌خواهم نسزد مؤمنی تسلطی علمی وصیت بینوا بجنگند نمی‌رساند هیچ یابند یاوری نمی‌رسانند
پنداشته‌اید	بدارد آفریننده خواهان آن‌هایی کدامین واگذار هموزن ندارد نخستین شکر امید بخوانید بنگرد ذره‌ای پنداشتید
آباد	مساجد بنده‌اش نمازشان خانه شبانگاه شکر حج می‌خورند وفا داربست صرف نجوا جابجا بپرستند می‌خوانند
پرداخته‌اند	غافلند اسلام نمایم نداریم لقای ورزیده می‌جنگند نموده‌اند تقرب انکار اثر جانشان نمی‌ورزند کج پروردگارشان
آورده_بود	آگاهی پدر نیاورد پدرش امروز گردان نخواهیم_آورد درآی سران فرعون فرزندش یوسف پدری گفت حمله
داغ	نهیم زنجیرها می‌زنند سوزان شدت روان کاسته سوراخ پسرانی رسوایش بگذار افکنده بریده میوه‌های می‌افکندند
مدار	غم مترس اندوه گفتیم جملگی آمدند آقای می‌گفت جد ندا دید الیاس جهد سپید ایوب
رفتن	بامداد خانواده شتابان برو کشید بیاور رسولان قومشان می‌آورید برداشتد گورها نزدیکترین دستش سوراخ می‌بریم
سرعت	می‌میرد کوه دو خشکی افکندیم جانشین پیشوایانی ابری می‌رانیم وعده‌گاه خواهی_، رفتن مرگش زنش آشامیدنی
فرار	شیری داوران بمیرید مقابل منزهی گویا وجود ندارد می‌بندد عزیز جنونی صفات بهترین شتابزده ؟!
کرم	فضل جوار نعمتی عطا شایسته بگروید بخششی پیامبرش فرستاده‌اش می‌پذیرد پیامبرانش بندگانش وامی‌دارند عهد حسابش
شهرهای	مدین پیرامون پرهیزگار درختان بی‌خبر خواهیم_پرسید نهاده قبل انگور بی‌گمان اصحاب رس روبرو جنبندگان برادرشان
مؤمنانی	وامی‌دارند ورزیده کارهای هجرت کرده‌اند ناپسند گرویده گفتاری نموده‌اند شایسته پیشه کرده_باشد آورده می‌نمودند کارشان
عده‌ای	افسانه‌های سحری سگشان برتافتند واقعی آزمودیم خنده شاعری انداختند خوشگذرانان زیردست پرستندگان نبودی منزهی دیار
پلیدی	خفت‌آور دردناک بیماری می‌داشتند سخت خواهند_بود درد بلایی سهمگین سنگینی یاورانی جاری زودشمار ناز نگهبانان
غافلند	ورزیده ابطال می‌ورزند می‌گروند می‌کوشند پرداخته‌اند انگاشتند می‌افزاید خیال بنمایانیم خوانده_شود کسانی‌اند زیردست دیدار نمی‌دهند
می‌نمود	فریب بده گشودیم آید نمی‌کرد پنداشت ناگهان تشخیص خواهیم_کرد آرزوهای بگیرند کرده_بودند بدل خواهد_شد بی‌خبرند
ورطه	رسانیدیم بی‌خبرند دستش پیوست زیانکار محروم تردید نداشته_باشند گمراهی‌شان افزودند زندگی جاری هنوز حالت رسیدند
ریختیم	نطفه بارانی طبقه گیاه مس لنگر نطفه‌ای بردهیم می‌خورد کوه‌هایی بنایی افتد ریزان دانه‌های می‌نوشید
شبی	تردیدی فزون‌بخشی می‌آورد عمره پرداخت نصیبی حج توضیح می‌نمایاند امری استفاده پندآموزی بخوانی شنوایی آوریم
بدی‌ها	شده_بود حفظ خوبی‌ها طوری ملاقات پیوند می‌بینند دفاع برپا مربوط میسر مرتکب گرم داوری توانگر
می‌نگرد	پاکدل آورم نمی‌گویم آشکارم شگون می‌گفت داده_می‌شد نگفتم نخواهیم_آورد نامه خواهر زکریا برگرفتد تعبیر بفرست
رسولانی	شتابان هامان عاد پیامبرانی ثمود وحی فرستادیم سران ماجرای برادرشان ثمودیان قومشان اصحاب امت‌هایی قارون
قومشان	سلیمان داشتیم برانگیختیم امت‌هایی فرستادگانی گسیل دوان کسانش دلایل روبرو رسولان بشارتگر چشمانشان بارهای مردانی
آوردم	شودم بندگانم درداد شراب دانش نعمت‌های بدو بندگان نگویید زاده نخواهیم_آورد درآی پاکیزه‌ای مأمورم سوره
مخوان	نمی‌خوانند یار یاوری معبودی مؤاخذه سرور برنمی‌آید بعضی‌شان ندارید شنوا خواهی_شد بلند دیگرند بدکار نباشد
موجی	کوه‌آسا می‌پوشاند خوشه می‌برد درختی قبیله لنگر جوشان دریای بالای جانشین سنگینی پوست غرفه‌هایی میوه‌اش
خودداری	دستت سپاهیان نمازشان تکلیف نمی‌دیدید بهره‌مند سرکشی کوچک اندازه جدال باران دارایی بحق شبانگاه هوس
نداریم	اعتقاد پرداخته‌اند ندارند نخواهی_یافت همچنان سنت تغییری زنند جویید می‌جویند سخنانی شاد داشته‌اید می‌داری شفاعتگری
خانه‌هایتان	استفاده می‌آوری پرسش رودها می‌برد شوید روشنایی دامهایتان گیرید روید سه دل‌هایی برسید موعد رنگ‌های
بازگشت‌کننده	بردبار حکیم دانای برگردانیده بازخواهیم حکیمی مولای آمرزنده بخشایشگر جهانیانم بلعید بخشنده آهسته شگون بازگردد
سویش	شتابان می‌آید آقای می‌آزماید کارنامه‌اش آسیبی رسولانی بفرستد قوت آید بترسان سنگین ببرد رسیده اندوه
بدانجا	رسولان های‌ حقایق قبیله قبل همسرانی باران برمی‌آید آمدند سرزمینی شهری دانه‌های نسل‌ها سایر رس
بلایی	خفت‌آور ناز چشانید حتی دردناک پلیدی چشمان ارجمند درد خواهند_داشت می‌نمودید شایسته‌تر عذاب رستگاری درجات
حسب	امکانات پسرک عمل درآی می‌ترسم مادرم داشتن مکشید مالی بیراهه آرید مأمورم می‌دانید بندگانم آورده_بود
می‌گرفت	عبرت ستمگر تصمیم نمی‌بینند سران خانواده غار بساز نیاورد سگشان سیراب گرفتن هشداردهنده زوال خرد
دیدم	هشت هفت خبری دوازده خواب برگشتید خوشه آهن هزار درآوریم ستاره فرمودیم کوهی حسابی گاو
بدار	راستان رکوع فرمانم معلوم سپاسگزاری می‌دارد بدارید مؤمنید نمایم بپرستید محرمانه پرسند می‌توانید برپا درافتادند
رفیق	خواهر دختر تن یکی زده_است استخوان‌های عادل بشر هامان حیوانی گفت مرد آمده‌ای مثلی بهترند
باده	ناب کشتزارها خرما سایه‌ها خوراکی آقای زیتون انگور تکیه درختان جویبارها جوی‌ها سبز میوه‌های خوشه
سبز	خوشه کشتزارها فراز گاو دریای میوه‌اش می‌خورند خرما تخت‌ها های‌ حسابی باده خواهند_داشت باغی رویانیدیم
بگذارید	برجای‌ماندگان ان شا پرسند بدار داده_نشده_است نادان مردیم دوباره شدیم گم ملکه الله برگردید بروید
نمی‌کرد	آهسته نکند نیستید نمی‌خوانند می‌آوردیم نیافته_بودند می‌گردد می‌ورزیدید خوانده_شود نمی‌آوردند می‌نمود گریز وارد می‌کنیم نیامد
دزدی	نپرستید پدر مپرستید احسان زنا مادرم پدرش نسازند تصور زیاده‌روی پیکار همچنانکه دفاع ملحق کارش
شوی	گردی می‌داریم همسال نداشتیم بدارد کرده_باشد صاد آمده_باشد آفریده‌ای خواهم_کرد نشده صدقه خواهد_شد برمی‌گزیند می‌سازیم
ان	شا الله پیامبرشان درآی ملکه بگذارید برادرم مهمانان پسرک می برجای‌ماندگان دارم مهلت‌یافتگانی بی‌شک کجایند
شا	ان الله پیامبرشان پسرک ملکه بی‌شک بی‌درنگ موجود درآی کجایند منزهی می بگذارید نخواهد_شد همپای
بی‌خبرند	نیمروز ورطه رسانیدیم سرگرمند ناگهانی خواهد_رسید می‌جویند نظاره می‌رسید گشت می‌گرفتند وحشت حمایت بسته‌اند یاوه
عجب	می‌داری داری نمی‌گوید زودگذر می‌گویید باور سخن اینان می‌پنداشتید شاعری نمی‌دارند مگوی نمازگزاران عیب ندارید
بلندمرتبه	فرمانروای رحمتگر کامیابی سنجیده‌کار شکست‌ناپذیر بخشایشگر شکوهمند صفات استادت مهربان حکیم رستگاری دانای ستوده شعایر
فاش	خاکی یکسره پیدا قربانی رویگردان فرمانروایی بیدار کفایت دفع صورتگری اظهار آشکارش انفاق کنده هجرت
عدن	بهشت‌های همیشگی جوی‌ها کشتزارها همسرانشان جویبارها سایه‌ها باغ‌هایی داربست درستکارند آنند درختان آتشند ناز همدم
همسرانشان	عدن فرزندانشان رفته‌اند سایه‌ها درستکارند گرویده داربست افتاده بهشت‌های زنانی همیشگی داشته_باشند یافتید زیر پایشان
فرجامی	سرانجامی سرای نیکوست پایدارتر وه بی‌منت فرجام نیک تقرب ماندگار قرارگاهی جاودانه پرهیزگاران بد پایدار
بازگردد	سویت گرویدیم تابناک بازخواهیم نیافته_بودند نازل بازگردانده بازگشت‌کننده بازگشتی شنیدیم آهسته دررسید اندوهگین خوانده_شوند اندوهناک
سان	قبل شمرده نرم دانه حسابی گشوده برآمدن آمدن آفتاب روان بی‌هیچ جوی‌ها نهرها دوازده نرسد
درآورده	سایه‌ها زبر باغ‌های دست‌ها بنا تبدیل عرضه چهره‌هایشان نگهبانان تخت‌ها عدن مردند آویخته رانده شدت
کنده	بشکافد خوشه زهم گشوده آنگه لنگر کوه‌ها رودها فاش قبیله فرمانش شکافت جا انگور بی‌خبر
تهی	پهلو افکند سیاه وحشت نشسته حمله‌ور دلی ریخته میوه‌اش می‌نهیم احساس مرده امتناع تنهایی یاریتان
آفریده‌ای	بدبو درافتادند گلی سجده سنگ قضای سیاه سنگ‌هایی گل دراز می‌بینند پهلو فرمانم آفریدیم شوی
بشارت	مژده یحیی فرقان تذکری بردبار هارون نبوت راهبر کردارش اسحاق روشنگر برتری روشنایی جلوه رحمتی
مقدر	باقی‌ماندگان زنش بیدار حفظ آدمیان برطرف سنگ‌هایی چشنده پندآموزی امری پست رام ببینید هلاک نفسی
منند	مهمانان پسرک شودم ان شا همسرانتان دید گفت درآی دانشمندان پیامبرشان خواهر می‌گفت نمی‌خورید دختران
برسید	محکم معین برخوردار مدتی قوت داشته‌ایم زمینی تاریکی بدارد ریز پوست سال‌ها خانه‌هایتان پند دلت
رنگ‌های	گوناگون جفت کوه‌هایی رودها زیتون می‌آوری پدید ریزان قلم سرزمینی دانه‌های مرده طبقه شش براییتان
تازه	بیازماییم نعمت‌های گوشت گوارا بی‌هیچ می‌خورید کدام بهره‌مند می‌ریزد ماترک پرنده نصف مرگش میراث خوک
می‌میرد	سرعت بی‌حساب نمی‌داند کدامین ساعتی خواهی_، جنبنده‌ای توانید فزون‌بخشی دنیای شریکی خلق یاوه ملکوت قدرت
دخترانی	برگرفتد مادینه می‌آفریند برمی‌گزیند همسال پدری پسران منع غنایم پیر آواز هزار فرزند شکست کمک
شیری	ناب خون می‌زداییم آنهاست کرده‌ای قرعه باغ‌ها خردمندان جایگاهی کشتزارها باده می‌کنند شکم میوه‌ای داربست
ناب	باده کشتزارها جوی‌ها شیری سبزی نوشندگان سایه‌ها جویبارها انگور خرما درآوریم زیتون خواهند_ماند رودها گردش
خوراکی	مواد باغی باده ماترک خشک کشتزارها حیوانی زناکار رویانیدیم میوه‌ای گوگردی ناب یک سوم بدبو
خیال	ابطال پنداشتند غافلند زیانکارانند انگاشتند می‌کوشند آیات ورزیده می‌کنیم نمازشان درمانده غمگین کوشش می‌ورزند بندند
می‌خوانی	می‌توانی کشانید مسلط می‌رود می‌آید بالا گران حقیقتی برساند می‌رانیم خبرهای می‌خوانیم کرده_بود خوانید افکندند
دروغگویانند	باور یاوری اعتقاد بمیرید زیانکارانند اجلشان آخرت سرگرمی سخت‌کیفر نیافریده‌ایم تغییری پرده‌ای سرای توانایی بیشترشان
بنده‌اش	ندانسته‌اند می‌پرستم بازگشت کتاب‌های نگفتم مردار میانسالی بپرستند خدایی مسجد چنگ می‌گویم میسر سینه چیزهایی
تهدید	محقق ناچیز می‌ترسد حرکت برگشتی ابلاغی عذاب گردیده فرض سوره آینه رسوایی سوره‌ای اعمال کافی
دوباره	بگذارید نمی‌کنم زبون می‌داشت نیاورند مهمانان زمانی پیامبرشان نیافتی خواند آمدند موعد زنهار برتافت طلب
خواهان	دنیای ذره‌ای شتابزده زندگانی کالای هموزن بیش زودگذر پنداشته‌اید اختیاری نمانده‌اید ستمکارتر شفاعت آگاهی ستمگرتر
مپرستید	نپرستید نیفزود دزدی شیطان عزت احسان ببخشود گوید شمایم نمی‌خوانند خدایان گفتی می‌گفت قومش فرزندش
نرم	گشوده فروتن گویید سان تبدیل زمینی نشده شهرهای کرده_بودیم جلوه آویخته پذیرایی وارد می‌گردند بریده
پرسش	تعقیب پشیمان غرق مورد خانه‌هایتان طلاقشان واحد بخوبی خرج اقرار گردند لی جانشین همخوابگی قوت
نداری	نداشتید کارم بخواهم همپای ندارم احاطه مگوی ملحق مکنید علمی شریک هوس‌های حاصل تسلطی تعدی
افکنده	احضار رانده جاودان جایگاهش خواهند_ماند افروخته خواهی_شد سقر همیشه آویخته بریده جهنم نگهبانان داغ جوی‌ها
خواهی_شد	خواهی_بود افکنده زندگان سقر جاری خواهد_شد خواهیم_بود جایگاهش خواهیم_ساخت خواهیم_شد می‌ماند یاورانی جدید دهنده زیانکاران
نجوا	نزاع گراید برخاستند سرپیچی ثمودیان ندیدی کرده_بودند دانشمندان پرهیزگاری همخوابگی پیشه پیشتر شعیب آرید برادران
آفرینشی	جدید می‌شویم خواهیم_شد برانگیخته می‌گردیم دهنده وه ساحری دانی خواهید_بود خواهیم_بود دانا آسمان‌ها اعتمادم سقر
آهن	مس سنگ گداخته خارج برمی‌آید دیدم آورده‌ام راه‌ها نوع میوه ایستند حیوانی ایمنی تلخ محل
بازمی‌گرداند	دانی برگرداند وعده‌گاه مشرق بازگردانیده دهنده آمدنی می‌آید می‌میراند می‌فرماید می‌آورد میوه‌ها خواهید_شد آفرینش آغاز
تکان	ریز بسته شهادت میانشان بدیشان خلوت سرش هراسانند عرضه ناچار شود می‌نگرند گرانبار زهم آنهاست
عذابش	ورزد می‌بخشاید رسوایش جوار حدود تجاوز پاداشش سهمگین می‌پذیرد شکنجه می‌سازد نموده‌اند خواهد_آمد درگذرد می‌ترسند
صدمه‌ای	گزندی آسیبی برساند دستاورد خیری رسد وسوسه‌ای بگوید مصیبتی می‌بخشاید پیشامد می‌آفریند بیراه بیمار می‌خواند
داشته‌ایم	گسیل بیندیشند بیان دیدار بوده_است نشده بخوانند کوبنده آورده_بودند ثمود درآوردند آنانکه ثمودیان نکردیم ورزیده
ادعا	شخص مطلب یافتیم سحری دوازده دروغی جماعتی الله بزرگوار دیوانه شاعری بربافتد عجب افسانه‌های ضامن
آرامی	آموخت ابر بخوانی نسل دیگران استفاده کوه‌هایی رنگ‌های پاره مسلط برانگیخت اطمینان غرق تدریج گردانیم
کناره	می‌خوانید بپرستم گرفتید بیگزارم نمی‌بینید می‌پرستند گردانیده‌اید خدایانی پرستش می‌پرستید می‌بینم خوانید می‌خوانم رسیده_است شمایم
شام	صبح می‌خوانند عرضه نوشته شامگاهان شکافنده بامدادان دل‌ها نمی‌ورزند افروخته حقیقتی برپا درمی‌آورد راز نماز
کارش	فرماید فرزندش کردارش زشتی دزدی یافته‌ایم حرام رسول کرده_باشد مشتبه محمد همسرش یعقوب سرمشقی فرقه
